Seq.No.	species	date	month	male	age	bodysize	No.	order	Family	genus	species.y	ecology	H_0001_Hymenoptera_Formicidae	H_0005_Diptera_Diptera	H_0011_Diptera_Diptera	H_0015_Diptera_Diptera	H_0017_Hemiptera_Bothrogonia	H_0022_Hymenoptera_Nylanderia	H_0024_Diptera_Diptera	H_0028_Diptera_Exorista	H_0031_Diptera_Diptera	H_0034_Hymenoptera_Pteromalus.puparum	H_0035_Hemiptera_Aphididae	H_0038_Coleoptera_Propylea	H_0041_Diptera_Culex	H_0042_Diptera_Chironomus	H_0044_Diptera_Diptera	H_0046_Collembola_Homidia	H_0069_Hymenoptera_Formicidae	H_0070_Diptera_Diptera	H_0071_Hemiptera_Orius	H_0074_Diptera_Scaptomyza	H_0075_Hemiptera_Sitobion.avenae	H_0076_Coleoptera_Coccinella	H_0087_Diptera_Diptera	H_0092_Diptera_Rhopalomyia	H_0093_Hymenoptera_Trichogramma	H_0097_Diptera_Diptera	H_0106_Hemiptera_Rhopalosiphum.padi	H_0109_Diptera_Scaptomyza	H_0113_Diptera_Limoniidae	H_0118_Orthoptera_Tettigoniidae	H_0128_Hemiptera_Cicadellidae	H_0130_Diptera_Diptera	H_0135_Coleoptera_Chrysomelidae	H_0140_Orthoptera_Polionemobius	H_0159_Diptera_Sciaridae	H_0165_Diptera_Bradysia	H_0179_Hemiptera_Pseudoregma.panicola	H_0180_Hemiptera_Bemisia	H_0187_Diptera_Diptera	H_0193_Diptera_Pipunculidae	H_0197_Diptera_Sciara	H_0199_Hemiptera_Cicadellidae	H_0201_Diptera_Trichocera	H_0205_Diptera_Diptera	H_0209_Diptera_Drosophilidae	H_0215_Hemiptera_Cicadellidae	H_0216_Hymenoptera_Hymenoptera	H_0223_Hemiptera_Cicadellidae	H_0226_Hemiptera_Aphididae	H_0227_Hemiptera_Cicadellidae	H_0232_Coleoptera_Chrysomelidae	H_0236_Diptera_Diptera	H_0257_Diptera_Diptera	H_0268_Hemiptera_Aphis	H_0271_Diptera_Diptera	H_0276_Diptera_Diptera	H_0278_Diptera_Sciara	H_0279_Hymenoptera_Aphidius	H_0280_Hemiptera_Delphacidae	H_0287_Diptera_Mycetophilidae	H_0289_Diptera_Diptera	H_0292_Diptera_Ephydridae	H_0298_Diptera_Megaselia	H_0301_Diptera_Diptera	H_0309_Hemiptera_Geisha.distinctissima	H_0310_Diptera_Megaselia	H_0321_Diptera_Bradysia	H_0332_Lepidoptera_Lepidoptera	H_0334_Diptera_Diptera	H_0344_Diptera_Dolichopodidae	H_0346_Hemiptera_Miridae	H_0348_Diptera_Drosophilidae	H_0356_Hemiptera_Cicadellidae	H_0367_Diptera_Diptera	H_0370_Hymenoptera_Hymenoptera	H_0372_Diptera_Diptera	H_0394_Hymenoptera_Eulophidae	H_0400_Hemiptera_Aphididae	H_0404_Diptera_Dasineura	H_0406_Diptera_Diptera	H_0431_Hemiptera_Aphididae	H_0434_Lepidoptera_Geometridae	H_0457_Hemiptera_Empoascanara	H_0460_Hemiptera_Hemiptera	H_0468_Hemiptera_Aphididae	H_0476_Diptera_Diptera	H_0478_Diptera_Diptera	H_0485_Diptera_Phoridae	H_0501_Diptera_Diptera	H_0519_Diptera_Diptera	H_0522_Lepidoptera_Pelopidas.mathias	H_0527_Diptera_Diptera	H_0543_Hymenoptera_Braconidae	H_0552_Hemiptera_Saldula	H_0554_Hemiptera_Hemiptera	H_0563_Hemiptera_Aphididae	H_0570_Diptera_Paratanytarsus	H_0575_Hemiptera_Hemiptera	H_0576_Coleoptera_Chrysomelidae	H_0584_Hemiptera_Anoecia	H_0589_Hemiptera_Aphididae	H_0625_Coleoptera_Atomaria	H_0643_Diptera_Ephydridae	H_0660_Diptera_Mycetophilidae	H_0662_Diptera_Diptera	H_0674_Diptera_Dolichosciara	H_0675_Orthoptera_Tettigoniidae	H_0678_Hemiptera_Anoecia	H_0686_Hemiptera_Cicadellidae	H_0697_Hemiptera_Anoecia	H_0727_Hymenoptera_Athalia	H_0732_Coleoptera_Coleoptera	H_0767_Hemiptera_Cicadellidae	H_0783_Hemiptera_Tuberculatus	H_0789_Diptera_Diptera	H_0799_Hemiptera_Aphididae	H_0824_Hymenoptera_Hymenoptera	H_0835_Coleoptera_Coleoptera	H_0836_Diptera_Culicidae	H_0838_Diptera_Diptera	H_0865_Coleoptera_Coleoptera	H_0907_Hymenoptera_Hymenoptera	H_0908_Lepidoptera_Ctenoplusia	H_0930_Hymenoptera_Hymenoptera	H_0949_Diptera_Cecidomyiidae	H_0960_Hemiptera_Aphididae	H_0964_Diptera_Diptera	H_0969_Hemiptera_Hemiptera	H_0972_Hemiptera_Hemiptera	H_0974_Diptera_Diptera	H_1002_Hemiptera_Aphididae	H_1004_Diptera_Diptera	H_1007_Diptera_Cecidomyiidae	H_1009_Coleoptera_Cantharidae	H_1046_Lepidoptera_Vanessa.cardui	H_1060_Diptera_Sphaeroceridae	H_1093_Diptera_Corynoptera	H_1137_Lepidoptera_Lepidoptera	H_1161_Hymenoptera_Diapriidae	H_1205_Hemiptera_Aphididae	H_1208_Diptera_Cecidomyiidae
S43_S_600	ササグモ	2018.11.12-016	11	2	2	5.72	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_601	ササグモ	2018.11.12-017	11	2	2	5.65	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_602	ササグモ	2018.11.12-018	11	2	2	6.41	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_605	カニグモ属	2018.11.12-021	11	2	2	4.26	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_606	チュウガタシロカネグモ	2018.11.12-022	11	2	2	2.7	7	Araneae	Tetragnathidae	Leucauge	Leucauge_blanda	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_607	ササグモ	2018.11.12-023	11	2	2	6.17	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
S43_S_608	ササグモ	2018.11.12-024	11	2	2	5.51	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_609	トガリアシナガグモ	2018.11.12-025	11	2	2	8.35	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_610	ササグモ	2018.11.12-026	11	2	2	4.78	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_611	カニグモ属	2018.11.12-027	11	2	2	5.44	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
S43_S_613	カニグモ属	2018.11.12-029	11	2	2	4.9	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_614	チュウガタシロカネグモ	2018.11.12-030	11	2	2	2.53	7	Araneae	Tetragnathidae	Leucauge	Leucauge_blanda	web-weabing	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_615	トガリアシナガグモ	2018.11.12-031	11	2	2	5.18	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_616	ササグモ	2018.11.12-032	11	2	2	6.01	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S43_S_618	カニグモ属	2018.11.12-034	11	2	2	5.32	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
